idna_subject,checker_type,destination,source,tested_at,session_id
0-0-0.xaper.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:16.439535,acfbf64650cefd134d1f5fb2
0-0-0.yearbookhigh.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:16.945742,acfbf64650cefd134d1f5fb2
0-0-0proxy.emntest.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:18.976829,acfbf64650cefd134d1f5fb2
0-0-0proxy.info,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:21.022082,acfbf64650cefd134d1f5fb2
0-0-7.in,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:23.538909,acfbf64650cefd134d1f5fb2
0-0-adult-superstore.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:25.682432,acfbf64650cefd134d1f5fb2
0-0-sz.inc.antpool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:26.053979,acfbf64650cefd134d1f5fb2
0-0-sz.inc.cn.antpool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:28.034071,acfbf64650cefd134d1f5fb2
0-0-sz.inc.v3.antpool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:29.226320,acfbf64650cefd134d1f5fb2
0-0.0-0.00003.04.openvpn.cloud.api.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:30.383281,acfbf64650cefd134d1f5fb2
0-0.0-0.00003.04.openvpn.cloud.cloud.api.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:31.548569,acfbf64650cefd134d1f5fb2
0-0.0-0.00003.04.openvpn.cloud.cloud.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:32.708264,acfbf64650cefd134d1f5fb2
0-0.0-0.00003.04.openvpn.cloud.openvpn.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:33.856712,acfbf64650cefd134d1f5fb2
0-0.0-51.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:35.908912,acfbf64650cefd134d1f5fb2
0-0.00002.04.openvpn.cloud.api.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:37.257134,acfbf64650cefd134d1f5fb2
0-0.00002.04.openvpn.cloud.cloud.api.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:38.623160,acfbf64650cefd134d1f5fb2
0-0.00002.04.openvpn.cloud.cloud.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:39.778005,acfbf64650cefd134d1f5fb2
0-0.00002.04.openvpn.cloud.openvpn.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:41.033862,acfbf64650cefd134d1f5fb2
0-0.001hh.000005.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:42.575078,acfbf64650cefd134d1f5fb2
0-0.0023.0110.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:44.114159,acfbf64650cefd134d1f5fb2
0-0.007dazhanhuangjiaduchang720.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:45.559752,acfbf64650cefd134d1f5fb2
0-0.028.openvpn.cloud.btcchina.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:46.783417,acfbf64650cefd134d1f5fb2
0-0.0682.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:48.321451,acfbf64650cefd134d1f5fb2
0-0.069.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:49.805129,acfbf64650cefd134d1f5fb2
0-0.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:50.110212,acfbf64650cefd134d1f5fb2
0-07.ru,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:50.599743,acfbf64650cefd134d1f5fb2
0-0wearingglassesnakedmen.tumblr.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:50.841601,acfbf64650cefd134d1f5fb2
0-1-1-0.tk,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:53.414718,acfbf64650cefd134d1f5fb2
0-1-2.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:53.699009,acfbf64650cefd134d1f5fb2
0-1-2.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:53.947206,acfbf64650cefd134d1f5fb2
0-1-2.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:54.210243,acfbf64650cefd134d1f5fb2
0-1-2.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:54.497651,acfbf64650cefd134d1f5fb2
0-1-2.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:54.771864,acfbf64650cefd134d1f5fb2
0-1-5.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:55.019038,acfbf64650cefd134d1f5fb2
0-1-5.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:55.307302,acfbf64650cefd134d1f5fb2
0-1-5.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:55.611011,acfbf64650cefd134d1f5fb2
0-1-5.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:55.897520,acfbf64650cefd134d1f5fb2
0-1-5.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:56.185067,acfbf64650cefd134d1f5fb2
0-1.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:56.475744,acfbf64650cefd134d1f5fb2
0-1.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:56.763546,acfbf64650cefd134d1f5fb2
0-1.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:57.054634,acfbf64650cefd134d1f5fb2
0-1.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:57.341377,acfbf64650cefd134d1f5fb2
0-1.fb.me,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:58.010899,acfbf64650cefd134d1f5fb2
0-1.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:58.320147,acfbf64650cefd134d1f5fb2
0-10.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:58.623906,acfbf64650cefd134d1f5fb2
0-10.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:58.908599,acfbf64650cefd134d1f5fb2
0-10.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:59.178729,acfbf64650cefd134d1f5fb2
0-10.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:59.468190,acfbf64650cefd134d1f5fb2
0-10.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:45:59.756339,acfbf64650cefd134d1f5fb2
0-100-195.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:00.955677,acfbf64650cefd134d1f5fb2
0-100-195.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:02.158109,acfbf64650cefd134d1f5fb2
0-100-bhd.foxypool.cf,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:04.031171,acfbf64650cefd134d1f5fb2
0-100-boom.foxypool.cf,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:05.236120,acfbf64650cefd134d1f5fb2
0-100-burst.foxypool.cf,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:06.606957,acfbf64650cefd134d1f5fb2
0-100-disc.foxypool.cf,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:07.802157,acfbf64650cefd134d1f5fb2
0-100-lhd.foxypool.cf,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:09.625850,acfbf64650cefd134d1f5fb2
0-100-newbi.ikpool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:09.855442,acfbf64650cefd134d1f5fb2
0-100-pool.abseits.ski,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:11.219995,acfbf64650cefd134d1f5fb2
0-100-pool.api.b3pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:12.582270,acfbf64650cefd134d1f5fb2
0-100-pool.b3pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:12.814074,acfbf64650cefd134d1f5fb2
0-100-pool.burst-alliance.org,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:13.610137,acfbf64650cefd134d1f5fb2
0-100-pool.burst-team.us,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:13.855885,acfbf64650cefd134d1f5fb2
0-100-pool.burst.cryptoguru.org,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:14.545841,acfbf64650cefd134d1f5fb2
0-100-pool.coinlab.biz,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:15.776172,acfbf64650cefd134d1f5fb2
